guardband,escape_bits,overkill_bits,true_fail_bits,escape_dppm,overkill_dppm,escape_dies,overkill_dies,true_bad_dies,true_good_dies,shipped_dies,scrapped_dies,yield,cost_escape_field,cost_dppm_quality,cost_scrap_yield,cost_retest_tat,total_cost,misclassified_dies
-0.02,3386,684,87987,688.88,139.16,18,0,104,196,214,86,0.7133,1440.0,344.44,0.0,129.0,1913.44,18
0.0,2123,1158,87987,431.93,235.6,5,2,104,196,199,101,0.6633,400.0,215.965,12.0,151.5,779.465,7
0.02,1154,1782,87987,234.78,362.55,0,8,104,196,188,112,0.6267,0.0,117.39,48.0,168.0,333.39,8
0.04,605,2598,87987,123.09,528.56,0,12,104,196,184,116,0.6133,0.0,61.545,72.0,174.0,307.545,12
0.06,268,3680,87987,54.52,748.7,0,15,104,196,181,119,0.6033,0.0,27.26,90.0,178.5,295.76,15
0.08,128,5132,87987,26.04,1044.11,0,18,104,196,178,122,0.5933,0.0,13.02,108.0,183.0,304.02,18
0.1,49,7321,87987,9.97,1489.46,0,23,104,196,173,127,0.5767,0.0,4.985,138.0,190.5,333.485,23
0.12,19,11030,87987,3.87,2244.06,0,33,104,196,163,137,0.5433,0.0,1.935,198.0,205.5,405.435,33
0.14,8,16981,87987,1.63,3454.79,0,44,104,196,152,148,0.5067,0.0,0.815,264.0,222.0,486.815,44
0.16,2,26618,87987,0.41,5415.45,0,56,104,196,140,160,0.4667,0.0,0.205,336.0,240.0,576.2049999999999,56
0.18,1,41897,87987,0.2,8523.97,0,82,104,196,114,186,0.38,0.0,0.1,492.0,279.0,771.1,82
0.2,0,65188,87987,0.0,13262.53,0,196,104,196,0,300,0.0,0.0,0.0,1176.0,450.0,1626.0,196
0.22,0,99513,87987,0.0,20245.97,0,196,104,196,0,300,0.0,0.0,0.0,1176.0,450.0,1626.0,196
0.24,0,149193,87987,0.0,30353.39,0,196,104,196,0,300,0.0,0.0,0.0,1176.0,450.0,1626.0,196
