guardband,escape_bits,overkill_bits,escape_dppm,overkill_dppm,escape_dies,overkill_dies,ship,repair,scrap,yield,true_bad_dies,total_cost
0.0,13520,140,550.13,5.7,86,0,435,751,314,0.7907,400,8752.57
0.01,10734,381,436.77,15.5,84,0,435,749,316,0.7893,400,8535.89
0.02,8108,950,329.92,38.66,73,0,435,738,327,0.782,400,7602.46
0.03,5704,2293,232.1,93.3,48,0,435,713,352,0.7653,400,5553.55
0.04,3784,5199,153.97,211.55,16,0,435,681,384,0.744,400,2954.49
0.05,2203,11345,89.64,461.63,0,13,434,653,413,0.7247,400,1721.82
0.06,1163,24035,47.32,977.99,0,50,315,735,450,0.7,400,2101.16
0.07,538,48434,21.89,1970.78,0,127,4,969,527,0.6487,400,3016.95
0.08,193,93598,7.85,3808.51,0,243,0,857,643,0.5713,400,3711.93
0.09,68,175098,2.77,7124.76,0,450,0,650,850,0.4333,400,4951.39
0.1,19,314967,0.77,12816.04,0,1100,0,0,1500,0.0,400,8850.39
0.11,2,543560,0.08,22117.51,0,1100,0,0,1500,0.0,400,8850.04
0.12,1,901318,0.04,36674.72,0,1100,0,0,1500,0.0,400,8850.02
0.13,0,1433313,0.0,58321.66,0,1100,0,0,1500,0.0,400,8850.0
