variant,class,recall
random_baseline,Center,0.5047
random_baseline,Donut,0.4819
random_baseline,Edge-Loc,0.4878
random_baseline,Edge-Ring,0.9869
random_baseline,Loc,0.1558
random_baseline,Near-full,1.0
random_baseline,Random,0.8846
random_baseline,Scratch,0.1117
random_baseline,none,0.9755
lotgroup_baseline,Center,0.6132
lotgroup_baseline,Donut,0.9118
lotgroup_baseline,Edge-Loc,0.5385
lotgroup_baseline,Edge-Ring,0.9783
lotgroup_baseline,Loc,0.1752
lotgroup_baseline,Near-full,0.7917
lotgroup_baseline,Random,0.984
lotgroup_baseline,Scratch,0.4012
lotgroup_baseline,none,0.9554
lotgroup_improved,Center,0.765
lotgroup_improved,Donut,0.8333
lotgroup_improved,Edge-Loc,0.7102
lotgroup_improved,Edge-Ring,0.9723
lotgroup_improved,Loc,0.2281
lotgroup_improved,Near-full,1.0
lotgroup_improved,Random,0.912
lotgroup_improved,Scratch,0.1728
lotgroup_improved,none,0.9719
